Company_Name,Ticker,Sub_Sector,Market_Cap,Close_Price,PE_Ratio,5Y_Historical_Revenue_Growth,1Y_Forward_Revenue_Growth,Total_Revenue,PBT,Taxes_And_Other_Items,DII_Holding_Change_3M,FII_Holding_Change_3M,MF_Holding_Change_3M,Promoter_Holding_Change_3M,Percentage_Buy_Records,No_Of_Analysts_With_Buy_Reco,Percentage Upside,Net_Profit,Profit_Margin,PS_Ratio,Earnings_Yield,Revenue_Growth,Total_Institutional_Holding_Change,Change_Retail_Holding,Composite_Score
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,55592.15861,2828.25,23.99440567,0.442193266,15.64079799,30106.29,3058.11,741.23,1.313289958,-1.051142545,1.24816814,-0.000623037,56.81818182,25,4.658357642,2316.88,10.15771123,1.846529699,0.055009737,0.293351073,1.510315553,-1.509692516,-3.008256954
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,55345.93619,1636.2,71.2137937,7.586282594,9.525997748,8704.6,1225.91,448.73,-0.499921642,0.570242282,-1.058179717,0,67.74193548,21,8.200097788,777.18,14.08347311,6.358240033,0.022149955,-0.710871051,-0.987859077,0.987859077,-14.70726268
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,54749.10896,203.3,8.590655876,28.49203621,0.117654575,28175.7,8430.7,2057.6,-0.047776294,-0.116091176,0.002206619,0.186705667,23.80952381,5,0.836202656,6373.1,29.92188304,1.943132166,0.153987894,2.236874756,-0.161660851,-0.025044816,5.851610267
Union Bank of India Ltd,UNIONBANK,Public Banks,54272.15378,82.2,10.30749448,16.40790398,0,81754.07,8566.33,3301.02,0.147051739,0.301280627,0.145668835,0,33.33333333,2,-36.13138686,5265.31,10.47816947,0.663846507,0.157840244,1.901580795,0.594001201,-0.594001201,0.666564245
Zomato Ltd,ZOMATO,Online Services,53658.13592,63.55,-44.39326212,74.46520034,38.45593976,5010.3,-1220.5,-11.8,36.19096765,15.47901629,2.201055434,0,73.91304348,17,41.62077105,-1208.7,-24.35981877,10.70956548,-0.022745852,-0.938714978,53.87103937,-53.87103937,18.24144194
Tube Investments of India Ltd,TIINDIA,Cycles,52991.03301,2743.7,68.92425245,22.78645343,18.18747931,12654.09,1151.81,382.98,-0.620642376,0.399565768,-0.060944707,-0.008107856,60,3,5.478004155,768.83,9.102274442,4.187660512,0.021735942,1.525615233,-0.282021315,0.290129171,-14.64459602
Page Industries Ltd,PAGEIND,Apparel & Accessories,52758.46861,47092.35,98.33091402,12.66139506,31.83661979,3907.45,708.78,172.24,1.283670588,0.103228708,0.665374201,0,23.80952381,5,8.864815623,536.54,18.13919564,13.50202014,0.013434431,-0.69121051,2.052273497,-2.052273497,-19.70766385
PI Industries Ltd,PIIND,Diversified Chemicals,51873.05876,3375,61.47553776,18.4957667,22.86468498,5404.5,1032.8,189,0.305176472,0.753682563,0.611352825,-0.659130243,65.38461538,17,9.777777778,843.8,19.11000093,9.598123556,0.019910143,0.383127103,1.67021186,-1.011081617,-10.07804947
JSW Energy Ltd,JSWENERGY,Power Generation,51145.36193,308.9,29.58739453,0.605252646,9.525203616,8744.38,2238.27,509.65,0.28923336,0.067917001,-0.017775631,0.00030413,9.090909091,1,-32.82615733,1728.62,25.59666895,5.848940912,0.043762913,0.617981312,0.33937473,-0.33967886,-0.758342385
Trent Ltd,TRENT,Retail - Apparel,51131.79408,1456.95,483.1502796,19.75743517,63.87010861,4678.37,111.22,5.39,0.589754697,-0.893351622,0.691171777,0,56.25,9,7.896633378,105.83,2.377323726,10.92940363,0.002175163,-0.464985511,0.387574852,-0.387574852,-120.2125916
